"spkid","full_name","sats","diameter","class","data_arc","first_obs","last_obs","e","a","i","per_y","condition_code"
1001474,"  322P/SOHO",0,,JFc,5817,1999-09-04,2015-08-08,0.9787,2.516,12.59,3.99,2
1002073,"  323P/SOHO",0,,JFc,2999,2016-11-23,2025-02-08,0.9848,2.582,5.37,4.15,0
1003986,"  323P/SOHO-B",0,,JFc,1,2021-03-02,2021-03-03,0.9843,2.888,5.43,4.91,9
1003987,"  323P/SOHO-C",0,,JFc,1,2021-03-02,2021-03-03,0.9811,2.61,5.26,4.22,9
1003026,"  325P/Yang-Gao",0,,JFc,26052,1951-05-28,2022-09-24,0.6243,3.406,16.33,6.29,0
1003435,"  333P/LINEAR",0,,JFC,6528,2007-11-04,2025-09-18,0.7361,4.22,131.97,8.67,0
1001542,"  342P/SOHO",0,,JFC,5816,2000-07-30,2016-07-02,0.9826,3.043,13.27,5.31,4
1003263,"  364P/PANSTARRS",0,,JFc,3960,2013-02-01,2023-12-06,0.7226,2.878,12.15,4.88,0
1003346,"  384P/Kowalski",0,,JFc,3749,2014-10-18,2025-01-22,0.6154,2.903,7.28,4.95,0
1003006,"  387P/Boattini",0,,JFc,4055,2008-12-22,2020-01-29,0.7360,4.799,8.90,10.5,0
1003292,"  405P/Lemmon",0,,JFc,2775,2013-10-04,2021-05-10,0.6891,3.607,9.37,6.85,0
1003467,"  414P/STEREO",0,,JFc,3422,2016-05-11,2025-09-23,0.8117,2.794,23.39,4.67,0
1003451,"  460P/PANSTARRS",0,,JFc,1862,2015-12-01,2021-01-05,0.6663,3.022,18.92,5.25,1
1003925,"  463P/NEOWISE",0,,JFc,3962,2012-09-06,2023-07-13,0.8253,2.976,29.44,5.13,0
1003138,"  479P/Elenin",0,,JFc,4803,2011-06-12,2024-08-05,0.7786,5.62,15.39,13.3,0
1003635,"  490P/ATLAS",0,,JFc,2113,2019-02-19,2024-12-02,0.6485,3.025,12.28,5.26,0
1003654,"  499P/Catalina",0,,JFc,2034,2019-11-01,2025-05-27,0.6914,3.015,24.59,5.24,0
1004010,"  501P/Rankin",0,,ETc,7284,2004-08-19,2024-07-29,0.6957,2.236,10.10,3.34,0
1000703,"     D/1766 G1 (Helfenzrieder)",0,,JFc,24,1766-04-09,1766-05-03,0.8476,2.665,7.87,4.35,
1000705,"     D/1770 L1 (Lexell)",0,,JFc,110,1770-06-15,1770-10-03,0.7861,3.153,1.55,5.6,
1000889,"     D/1884 O1 (Barnard)",0,,JFc,89,1884-07-26,1884-10-23,0.5836,3.073,5.47,5.39,7
1000927,"     D/1895 Q1 (Swift)",0,,JFc,166,1895-08-24,1896-02-06,0.6520,3.729,2.99,7.2,
1000954,"     C/1905 F1 (Giacobini)",0,,HTC,25,1905-04-06,1905-05-01,0.9528,23.56,40.07,114,9
